SYMBOL,S.No.,Name,Price,P/E,Cap,QtrSV,QtrPV,QoQS,QoQP,Prom.,DII,FII,ExpQV,Down%,PromC,IntCov,3M-RETURN,SECTOR,FNO
NH,5.0,Narayana Hrudaya,1782.8,46.5,36433.44,13.55,2.62,-2.38,-2.89,63.85,8.52,9.66,8.62,4.81,0.0,6.98,34.82,Healthcare,False
ASTERDM,4.0,Aster DM Health.,582.05,100.45,29074.19,9.97,25.04,-3.37,-39.12,40.38,24.63,23.62,16.55,4.5,-1.5,5.08,39.97,Healthcare,False
KIMS,13.0,Krishna Institu.,640.35,67.94,25622.89,25.73,43.82,3.17,14.7,38.82,31.95,15.44,21.74,9.56,0.0,5.61,10.73,Healthcare,False
KOVAI,11.0,Kovai Medical,5864.45,31.06,6415.72,10.57,8.85,3.21,14.03,56.55,4.03,1.1,14.68,8.37,0.0,9.2,-2.02,Healthcare,False
THYROCARE,9.0,Thyrocare Tech.,984.05,57.44,5214.81,21.34,25.55,12.8,13.83,71.06,14.97,2.41,20.24,6.73,0.0,68.41,37.41,Healthcare,False
SUVEN,10.0,Suven Life Scie.,182.4,,3977.68,-38.49,-65.56,-8.7,-12.32,70.27,0.01,0.25,-34.1,8.13,0.0,,59.33,Healthcare,False
APRAMEYA,2.0,Aprameya Enginee,163.15,19.27,310.63,,,1263.86,1131.21,73.53,0.72,0.41,,3.46,0.0,12.83,62.85,Healthcare,False
543943,12.0,Asarfi Hospital,102.25,18.32,201.21,51.5,206.07,24.17,47.86,61.17,2.92,0.0,,8.66,0.0,4.65,3.26,Healthcare,False
ITCHOTELS,3.0,ITC Hotels,201.75,66.13,41987.59,,,4.45,19.38,39.88,21.6,25.37,,5.41,,211.43,22.1,Hotels & Restaurants,False
HEXT,25.0,Hexaware Tech.,776.0,40.54,47157.11,16.7,17.24,1.7,2.0,74.71,9.06,10.59,,8.71,-20.37,20.48,,IT - Software,False
INTELLECT,21.0,Intellect Design,1063.0,44.35,14766.43,18.29,58.43,19.07,92.66,29.91,8.23,24.86,0.91,7.01,-0.04,184.99,45.42,IT - Software,False
AXISCADES,16.0,AXISCADES Tech.,982.4,77.76,4174.99,18.21,111.71,3.71,20.49,59.49,2.03,0.69,10.4,0.06,-0.07,4.38,29.54,IT - Software,False
534535,13.0,Bio Green Papers,134.42,44.4,1565.08,,16237.5,32.98,26.44,81.79,0.0,0.0,,0.0,-7.24,,206.97,IT - Software,False
SILVERTUC,24.0,Silver Touch,805.95,46.02,1022.03,8.72,45.73,15.18,75.1,74.53,0.0,0.0,30.09,8.41,0.1,11.6,20.73,IT - Software,False
