S.No.,Name,Price,P/E,Cap,QtrSV,QtrPV,QoQS,QoQP,Prom.,DII,FII,ExpQV,Down%,PromC,IntCov,3M-RETURN,SYMBOL,SECTOR
1.,India Glycols,1748.30,25.85,5413.02,7.85,36.46,1.46,14.28,61.01,0.91,2.24,30.28,1.23,0.00,2.62,52.58,INDIAGLYCO,Alcoholic Beverages
2.,Som Distilleries,144.35,27.96,2819.04,13.06,19.57,3.93,15.03,38.75,0.09,1.60,30.57,3.06,2.43,16.43,28.05,SDBL,Alcoholic Beverages
3.,Radico Khaitan,2575.00,99.83,34459.60,20.90,59.73,0.76,-5.49,40.23,26.77,16.95,17.93,3.41,-0.01,6.65,26.79,RADICO,Alcoholic Beverages
4.,United Spirits,1540.70,76.36,112062.98,14.36,8.64,20.71,-1.76,56.67,14.59,14.98,7.42,9.37,0.00,28.25,12.76,UNITDSPR,Alcoholic Beverages
5.,Allied Blenders,402.25,57.72,11251.37,19.94,3362.24,-5.47,36.80,80.91,4.03,2.73,6.64,9.60,0.00,4.73,25.18,ABDL,Alcoholic Beverages
6.,United Breweries,2061.10,118.52,54496.54,8.89,20.16,16.13,153.79,70.84,16.17,6.92,9.77,10.38,0.00,23.46,1.27,UBL,Alcoholic Beverages
7.,IFB Agro Inds.,528.25,22.74,494.99,20.65,340.80,10.56,334.66,65.00,1.12,0.15,11.66,19.19,0.00,57.52,6.67,IFBAGRO,Alcoholic Beverages
8.,Gulshan Polyols,212.50,54.46,1325.38,64.32,45.81,38.43,425.58,66.71,0.67,0.06,50.85,19.36,0.00,2.15,18.57,GULPOLY,Alcoholic Beverages
9.,Globus Spirits,1082.35,183.45,3134.99,-12.43,-99.07,-5.65,-67.97,50.90,5.75,6.35,,21.19,0.04,1.11,24.63,GLOBUSSPR,Alcoholic Beverages
10.,Tilaknagar Inds.,351.50,29.71,6812.55,13.11,95.72,19.21,43.43,40.00,1.26,15.32,3.58,23.14,0.00,34.76,36.15,TI,Alcoholic Beverages
11.,Assoc.Alcohols,1133.40,26.69,2173.75,0.11,82.29,-25.85,-14.41,59.29,0.00,1.06,47.69,24.25,0.00,22.15,-0.53,ASALCBR,Alcoholic Beverages
12.,Ravikumar Distll,29.35,48.58,70.43,95.53,101.63,-7.10,-50.00,23.59,0.00,0.00,62.08,24.55,0.00,1.75,11.74,RKDL,Alcoholic Beverages
13.,G M Breweries,720.25,12.80,1645.56,5.93,-30.22,2.10,175.19,74.43,0.00,0.32,3.56,31.34,0.00,489.00,6.74,GMBREW,Alcoholic Beverages
14.,Piccadily Sugar,55.00,,127.88,-91.76,127.12,-94.57,-78.08,74.98,0.00,0.00,70.41,35.34,0.00,,6.68,507498,Alcoholic Beverages
15.,Jagatjit Inds.,188.50,,881.85,-21.07,-768.75,-13.46,45.74,87.33,0.01,0.03,-8.52,39.10,0.00,0.40,-1.85,507155,Alcoholic Beverages
16.,BCL Industries,41.36,13.19,1220.78,18.20,-37.30,1.96,-29.94,58.03,0.00,0.86,36.64,39.97,0.27,4.64,10.49,BCLIND,Alcoholic Beverages
17.,Piccadily Agro,598.05,53.31,5641.96,2.63,17.01,-1.42,0.53,70.97,0.01,0.71,23.05,41.36,0.00,4.87,-1.27,530305,Alcoholic Beverages
18.,Shri Gang Indus,100.00,6.13,179.30,16.14,-211.11,-36.95,-113.51,35.62,0.63,0.00,28.68,44.63,0.00,2.51,-22.94,523309,Alcoholic Beverages
19.,Sula Vineyards,300.20,36.12,2533.57,2.60,-3.84,-37.19,-53.56,24.66,18.26,7.97,2.24,45.21,0.00,2.89,-5.69,SULA,Alcoholic Beverages
20.,Aurangabad Dist.,196.00,11.31,200.90,-17.63,-34.09,-22.38,-47.29,74.93,0.00,0.00,,47.87,0.00,3.44,17.97,AURDIS,Alcoholic Beverages
21.,Silver Oak (I),166.45,,63.09,,86.05,,79.31,64.71,0.00,0.00,,58.49,0.00,1.19,-15.27,531635,Alcoholic Beverages
21.,Silver Oak (I),166.45,,63.09,,86.05,,79.31,64.71,0.00,0.00,,58.49,0.00,1.19,-15.27,531635,Alcoholic Beverages
21.,Silver Oak (I),166.45,,63.09,,86.05,,79.31,64.71,0.00,0.00,,58.49,0.00,1.19,-15.27,531635,Alcoholic Beverages
1.,Gabriel India,624.10,42.56,8964.81,13.56,25.63,0.02,2.43,55.00,14.67,5.23,11.02,4.10,0.00,53.04,33.11,GABRIEL,Auto Ancillaries
2.,Shriram Pistons,2385.00,20.73,10505.89,15.52,25.84,16.57,25.26,43.75,13.15,5.30,14.96,4.60,0.00,24.94,24.24,SHRIPISTON,Auto Ancillaries
3.,Steel Str. Wheel,236.30,17.67,3708.22,15.46,2.24,14.82,19.02,61.24,5.05,6.71,2.26,4.72,0.26,3.81,31.11,SSWL,Auto Ancillaries
4.,Kranti Industrie,110.80,,141.39,-14.50,-45.07,-5.40,-58.54,61.90,0.00,0.00,-12.70,4.73,-7.28,-0.88,11.02,542459,Auto Ancillaries
5.,Spectra Industri,5.41,,3.83,,16.89,,8.21,55.86,0.09,0.00,,6.72,0.00,-0.09,-4.62,513687,Auto Ancillaries
6.,Setco Automotive,19.98,,267.27,7.44,-18.60,10.94,1.18,59.25,0.00,0.07,9.31,7.84,0.00,0.40,13.16,SETCO,Auto Ancillaries
7.,Lumax Auto Tech.,620.55,25.84,4229.57,23.63,23.00,7.52,8.16,55.98,16.09,5.31,28.79,9.38,0.00,4.74,16.06,LUMAXTECH,Auto Ancillaries
8.,Fiem Industries,1602.65,21.92,4218.12,21.72,16.10,-3.15,-6.28,58.96,7.05,2.99,22.78,10.47,0.00,166.46,17.76,FIEMIND,Auto Ancillaries
