S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Qtr Sales Var %,Qtr Profit Var %,QoQ Sales %,QoQ Profits %,Prom. Hold. %,DII Hold %,FII Hold %,Exp Qtr Sales Var %,RSI Rs.,MACD Signal Rs.,Change in Prom Hold %,ROCE,SYMBOL
155.,Iris Clothings,74.95,55.78,611.37,15.38,151.90,-26.99,-45.63,70.94,0.00,0.00,8.93,43.61,-1.78,0.00,16.38,IRISDOREME
156.,Plaza Wires,86.00,50.10,376.27,,,4.40,-67.74,69.83,2.12,2.20,,39.13,-4.22,,16.31,PLAZACABLE
157.,Dhatre Udyog,218.50,22.76,238.07,28.05,191.94,39.59,88.54,89.60,0.00,0.00,426.77,57.34,-6.97,-0.41,16.30,540080
158.,B&B Triplewall,264.35,26.79,542.21,7.11,-4.49,-4.36,-21.44,71.43,0.00,0.00,5.25,46.22,-0.71,0.00,16.24,BBTCL
159.,Rudrabhish. Ent.,180.70,23.63,313.38,6.66,3.83,23.03,10.71,68.64,0.00,0.00,16.39,38.51,-4.62,0.00,16.17,REPL
160.,Amines & Plast.,163.65,25.41,900.40,9.11,100.81,11.35,8.69,73.17,0.00,0.00,9.61,41.84,-8.33,0.00,16.10,AMNPLST
161.,National Plastic,414.45,31.30,251.99,17.82,24.38,-11.51,-9.13,65.64,0.00,0.15,29.07,50.37,20.81,0.09,16.00,531287
162.,Manaksia,102.75,6.21,673.53,-47.35,-30.17,-23.37,-27.35,74.93,0.00,1.73,-24.73,35.20,-5.27,0.00,15.98,MANAKSIA
163.,Arihant Capital,58.40,12.72,608.02,116.57,173.60,29.82,33.36,70.18,0.00,0.06,53.46,41.53,-3.98,-1.46,15.89,ARIHANTCAP
164.,GRM Overseas,123.95,16.69,743.70,8.05,-19.15,115.86,95.86,71.72,0.00,0.08,-3.15,26.90,-14.58,0.00,15.69,GRMOVER
165.,Narmada Gelatine,354.25,14.23,214.31,-8.72,-39.36,13.20,28.09,77.65,0.01,0.00,1.23,39.13,-13.87,0.00,15.66,526739
166.,Uday Jewellery,149.90,30.74,330.11,22.34,15.14,28.65,4.71,73.76,0.00,0.00,9.17,30.39,-10.25,0.00,15.63,539518
167.,Krishna Defence,350.65,68.54,431.09,,,-20.11,-28.14,73.38,0.00,0.00,,46.43,-6.81,0.00,15.62,KRISHNADEF
168.,KN Agri Resource,135.40,12.51,338.49,,,,,73.66,2.61,2.35,,51.92,-3.07,0.00,15.61,KNAGRI
