,Company Name,Industry,Symbol,Series,ISIN Code,Ticker,Name,Weight,Shares,Price
41,Atul Ltd,Chemicals,ATUL,EQ,INE100A01010,ATLP IS Equity,Atul Ltd,--,--,6756.0
42,Aurobindo Pharma Ltd,Healthcare,AUROPHARMA,EQ,INE406A01037,ARBP IS Equity,Aurobindo Pharma Ltd,--,--,1303.55
43,Avanti Feeds Ltd,Fast Moving Consumer Goods,AVANTIFEED,EQ,INE871C01038,AVNT IS Equity,Avanti Feeds Ltd,--,--,610.55
44,Avenue Supermarts Ltd,Consumer Services,DMART,EQ,INE192R01011,DMART IS Equity,Avenue Supermarts Ltd,--,--,4853.1001
45,Axis Bank Ltd,Financial Services,AXISBANK,EQ,INE238A01034,AXSB IS Equity,Axis Bank Ltd,--,--,1287.05
46,BEML Ltd,Capital Goods,BEML,EQ,INE258A01016,BEML IS Equity,BEML Ltd,--,--,5059.9502
47,BLS International Services Ltd,Consumer Services,BLS,EQ,INE153T01027,BLSIN IS Equity,BLS International Services Ltd,--,--,379.4
48,BSE Ltd,Financial Services,BSE,EQ,INE118H01025,BSE IS Equity,BSE Ltd,--,--,2405.3501
49,Bajaj Auto Ltd,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,BJAUT IS Equity,Bajaj Auto Ltd,--,--,9635.7998
50,Bajaj Finance Ltd,Financial Services,BAJFINANCE,EQ,INE296A01024,BAF IS Equity,Bajaj Finance Ltd,--,--,7138.0
