Date,Year,Adj Close,Volume,Symbol,Outstanding_Shares
2021-03-18,2021,1519.0,771073,MCX.NS,50.998
2021-03-19,2021,1535.9,250163,MCX.NS,50.998
2021-03-22,2021,1543.3,274525,MCX.NS,50.998
2021-03-23,2021,1488.4,312331,MCX.NS,50.998
2021-03-24,2021,1479.7,291115,MCX.NS,50.998
2021-03-25,2021,1454.7,270308,MCX.NS,50.998
2021-03-26,2021,1500.6,122784,MCX.NS,50.998
2021-03-30,2021,1463.8,131204,MCX.NS,50.998
2021-03-31,2021,1448.0,142728,MCX.NS,50.998
2021-04-01,2021,1452.9,156833,MCX.NS,50.998
2021-04-05,2021,1388.7,353676,MCX.NS,50.998
2021-04-06,2021,1401.6,311861,MCX.NS,50.998
2021-04-07,2021,1420.9,224982,MCX.NS,50.998
2021-04-08,2021,1440.4,276755,MCX.NS,50.998
2021-04-09,2021,1451.4,197959,MCX.NS,50.998
2021-04-12,2021,1425.5,247001,MCX.NS,50.998
2021-04-13,2021,1409.7,141922,MCX.NS,50.998
2021-04-15,2021,1411.6,73651,MCX.NS,50.998
2021-04-16,2021,1430.7,157842,MCX.NS,50.998
2021-04-19,2021,1427.8,259475,MCX.NS,50.998
2021-04-20,2021,1398.3,260438,MCX.NS,50.998
2021-04-22,2021,1393.5,177031,MCX.NS,50.998
2021-04-23,2021,1396.5,126316,MCX.NS,50.998
2021-04-26,2021,1419.5,225397,MCX.NS,50.998
2021-04-27,2021,1472.0,470863,MCX.NS,50.998
2021-04-28,2021,1464.8,182650,MCX.NS,50.998
2021-04-29,2021,1466.4,131478,MCX.NS,50.998
2021-04-30,2021,1412.9,252288,MCX.NS,50.998
2021-05-03,2021,1429.1,100218,MCX.NS,50.998
2021-05-04,2021,1422.8,98251,MCX.NS,50.998
2021-05-05,2021,1416.2,71579,MCX.NS,50.998
2021-05-06,2021,1415.7,90430,MCX.NS,50.998
2021-05-07,2021,1437.2,264473,MCX.NS,50.998
2021-05-10,2021,1521.8,875749,MCX.NS,50.998
2021-05-11,2021,1500.1,460226,MCX.NS,50.998
2021-05-12,2021,1489.5,176487,MCX.NS,50.998
2021-05-14,2021,1452.4,146719,MCX.NS,50.998
2021-05-17,2021,1487.0,427531,MCX.NS,50.998
2021-05-18,2021,1543.7,529833,MCX.NS,50.998
2021-05-19,2021,1545.9,250498,MCX.NS,50.998
2021-05-20,2021,1556.2,259598,MCX.NS,50.998
2021-05-21,2021,1557.1,292476,MCX.NS,50.998
2021-05-24,2021,1518.9,396145,MCX.NS,50.998
2021-05-25,2021,1476.8,302352,MCX.NS,50.998
2021-05-26,2021,1454.3,405968,MCX.NS,50.998
2021-05-27,2021,1486.6,214723,MCX.NS,50.998
2021-05-28,2021,1483.3,153545,MCX.NS,50.998
2021-05-31,2021,1482.5,157433,MCX.NS,50.998
2021-06-01,2021,1489.0,122198,MCX.NS,50.998
2021-06-02,2021,1476.3,172641,MCX.NS,50.998
2021-06-03,2021,1492.8,109925,MCX.NS,50.998
