,Code,Company,SecurityID,MarketCapFull,MarketCapFreeFloat,Industry
151,500300,GRASIM INDUSTRIES LTD.,GRASIM,"1,59,616.23 Cr.","89,385.09 Cr.",Construction Materials
152,500302,PIRAMAL ENTERPRISES LTD.,PEL,"20,782.52 Cr.","11,014.73 Cr.",Financial Services
153,500304,NIIT LTD.,NIITLTD,"1,457.35 Cr.",874.41 Cr.,Consumer Services
154,500306,JAYKAY ENTERPRISES LTD.,JAYKAY,809.35 Cr.,348.02 Cr.,Capital Goods
155,500307,NIRLON LTD.,NIRLON,"3,917.88 Cr.","1,097.01 Cr.",Services
156,500312,Oil and Natural Gas Corporation Ltd,ONGC,"3,55,833.20 Cr.","1,10,308.29 Cr.","Oil, Gas & Consumable Fuels"
157,500313,OIL COUNTRY TUBULAR LTD.,OILCOUNTUB,197.49 Cr.,90.84 Cr.,"Oil, Gas & Consumable Fuels"
158,500314,ORIENTAL HOTELS LTD.,ORIENTHOT,"2,400.37 Cr.",768.12 Cr.,Consumer Services
159,500317,OSWAL AGRO MILLS LTD.,OSWALAGRO,618.02 Cr.,358.45 Cr.,Services
160,500319,INDIAN SUCROSE LTD.,INDSUCR,148.88 Cr.,53.60 Cr.,Fast Moving Consumer Goods
161,500322,PANYAM CEMENTS & MINERAL INDUSTRIES LTD.,PANCM,164.84 Cr.,8.24 Cr.,Construction Materials
162,500325,RELIANCE INDUSTRIES LTD.,RELIANCE,"19,64,079.96 Cr.","9,82,039.98 Cr.","Oil, Gas & Consumable Fuels"
163,500327,Pil Italica Lifestyle Ltd,PILITA,293.75 Cr.,146.88 Cr.,Consumer Durables
164,500330,RAYMOND LTD.,RAYMOND,"14,025.42 Cr.","7,012.71 Cr.",Textiles
165,500331,PIDILITE INDUSTRIES LTD.,PIDILITIND,"1,51,652.05 Cr.","45,495.61 Cr.",Chemicals
166,500333,PIX TRANSMISSIONS LTD.,PIXTRANS,"1,894.79 Cr.",625.28 Cr.,Capital Goods
167,500335,BIRLA CORPORATION LTD.,BIRLACORPN,"11,160.38 Cr.","4,129.34 Cr.",Construction Materials
168,500336,SURYA ROSHNI LTD.,SURYAROSNI,"6,616.13 Cr.","2,381.81 Cr.",Capital Goods
169,500337,PRIME SECURITIES LTD.,PRIMESECU,594.70 Cr.,404.40 Cr.,Financial Services
170,500338,Prism Johnson Ltd,PRSMJOHNSN,"8,363.27 Cr.","2,007.18 Cr.",Construction Materials
171,500339,Rain Industries Ltd,RAIN,"6,027.31 Cr.","3,315.02 Cr.",Chemicals
172,500343,AMJ Land Holdings Ltd,AMJLAND,157.73 Cr.,52.05 Cr.,Realty
173,500346,PUNJAB COMMUNICATIONS LTD.,PUNJCOMMU,63.54 Cr.,18.43 Cr.,Telecommunication
174,500350,RSWM LTD.,RSWM,899.88 Cr.,395.95 Cr.,Textiles
175,500354,RAJSHREE SUGARS & CHEMICALS LTD.,RAJSREESUG,215.61 Cr.,125.06 Cr.,Fast Moving Consumer Goods
176,500355,RALLIS INDIA LTD.,RALLIS,"5,275.94 Cr.","2,321.41 Cr.",Chemicals
177,500356,SHREE RAMA NEWSPRINT LTD.,RAMANEWS,318.50 Cr.,79.63 Cr.,Forest Materials
178,500357,RAMA PAPER MILLS LTD.,RAMAPPR-B,19.08 Cr.,11.83 Cr.,Forest Materials
179,500358,RAMA PETROCHEMICALS LTD.,RAMAPETRO,8.85 Cr.,4.16 Cr.,Financial Services
180,500360,RAPICUT CARBIDES LTD.,RAPICUT,55.46 Cr.,30.50 Cr.,Capital Goods
181,500365,Welspun Specialty Solutions Ltd,WELSPLSOL,"2,067.88 Cr.",930.55 Cr.,Capital Goods
182,500366,ROLTA INDIA LTD.,ROLTA,118.11 Cr.,114.57 Cr.,Information Technology
183,500367,RUBFILA INTERNATIONAL LTD.,RUBFILA,402.01 Cr.,156.79 Cr.,Automobile and Auto Components
184,500368,Patanjali Foods Ltd,PATANJALI,"57,115.55 Cr.","14,850.04 Cr.",Fast Moving Consumer Goods
185,500370,SALORA INTERNATIONAL LTD.,SALORAINTL,58.35 Cr.,14.59 Cr.,Services
186,500378,JINDAL SAW LTD.,JINDALSAW,"17,874.26 Cr.","6,434.73 Cr.",Capital Goods
187,500380,JK LAKSHMI CEMENT LTD.,JKLAKSHMI,"9,343.00 Cr.","4,951.79 Cr.",Construction Materials
188,500387,SHREE CEMENT LTD.,SHREECEM,"87,103.98 Cr.","32,228.47 Cr.",Construction Materials
189,500388,SHREE KRISHNA PAPER MILLS & INDUSTRIES LTD.,SKPMIL,43.54 Cr.,25.25 Cr.,Forest Materials
190,500390,RELIANCE INFRASTRUCTURE LTD.,RELINFRA,"7,570.07 Cr.","5,223.35 Cr.",Power
191,500400,TATA POWER CO.LTD.,TATAPOWER,"1,39,556.45 Cr.","73,964.92 Cr.",Power
